"","influencer.name","user_id","ideology.estimate"
"124","HouseCommerce",114756202,1.4871006936227
"125","Heritage",10168082,1.23200392288352
"126","SenTedCruz",1074480192,1.70011726862085
"127","GStephanopoulos",17074440,1.15630517896533
"128","SenBlumenthal",278124059,-0.329861495177223
"129","RepEliotEngel",164007407,-0.884286663316855
"130","RepDianaDeGette",28599820,0.947077097185087
"131","NydiaVelazquez",164369297,-0.0877104324307299
"132","RepAdamSmith",58928690,-0.105317845997555
"133","RepKevinBrady",19926675,1.56343091558766
"134","HouseForeignGOP",75367781,1.28312755060056
"135","RepMarkTakano",1037321378,-1.32173621163966
"136","SenMikeLee",88784440,1.51018513516144
"137","DorisMatsui",38254095,0.633799324185796
"138","chrislhayes",4207961,-1.27784469594263
"139","maziehirono",92186819,-0.297292369875324
"140","repcleaver",163570705,-0.454415327675383
"141","RepWilson",234014087,0.350106845769384
"142","RepThompson",303861808,-0.655080358379322
"143","RepMarciaFudge",153486399,0.399669932210096
"144","HouseJudiciary",246357149,-0.914244772426864
"145","RepBera",950783972,-0.63101681529855
"146","RepGregoryMeeks",22812754,-0.893605520304362
"147","SenSanders",29442313,-1.30632834198622
"148","NitaLowey",221792092,0.513465619524455
"149","gracenapolitano",161411080,-0.426628467340878
"150","RepBrownley",1243902714,0.14441751899215
"151","RepMcGovern",242426145,-0.950889798143484
"152","RepStefanik",2962813893,1.45168727408282
"153","SenJeffMerkley",29201047,0.746907907959608
"154","andersoncooper",15224867,1.00101203002911
"155","RepPerlmutter",20552026,0.0421626696537044
"156","KellyO",224320485,1.16154508002031
"157","RandPaul",216881337,1.49039572373004
"158","HillaryClinton",1339835893,-2.08105815921267
"159","RepCartwright",776664410,0.932573543728483
"160","janschakowsky",24195214,0.508556050391251
"161","Morning_Joe",254117355,0.907720740935633
"162","RepHankJohnson",24745957,-0.981751505040903
"163","RulesReps",78369108,1.5071424816797
"164","RepDerekKilmer",1058917562,0.0905801285171761
"165","PattyMurray",293131808,0.357404706489281
"166","StevenTDennis",46557945,0.483646857579828
"167","RepVeasey",1074129612,-0.0262091215035206
"168","TheBlackCaucus",233783568,-1.28642758968996
"169","RepCardenas",1222257180,-0.744674150861929
"170","RepZoeLofgren",267938462,-1.16015880857278
"171","RepTimRyan",13491312,0.966738708890166
"172","RepSchneider",1071840474,1.08928795503365
"173","RepSeanMaloney",1072467470,-0.322859328860122
"174","RepGraceMeng",1051127714,-0.43433238182255
"175","Mike_Pence",22203756,1.9030076237471
"176","postpolitics",14345062,1.1425314489479
"177","SenatorCollins",19726613,1.17802931358606
"178","RepBeatty",1531521632,-0.957331940649122
"179","BradSherman",30216513,0.693410263521214
"180","RepRichmond",267854863,-0.703949288497137
"181","OversightDems",31122582,0.0402223829815782
"182","rollcallpols",15918708,1.20743752530842
"183","CongressmanGT",18967498,1.21716711069865
"184","SenMarkey",21406834,0.478501966218651
"185","RepAndreCarson",199325935,-0.0661065556583978
"186","NatResources",41445718,1.51704967464846
"187","rachaelmbade",167024520,1.16506291934101
"188","AppropsDems",30912937,0.71608930371264
"189","POTUS44",1536791610,-0.330680804240476
"190","RepDougCollins",1060487274,1.40783206748162
"191","business",34713362,0.79194566414903
"192","RepFredUpton",124224165,1.43360689812638
"193","pkcapitol",997684836,1.20447680923488
"194","RepGwenMoore",22669526,-0.99728016057739
"195","SanfordBishop",249410485,0.282130172200938
"196","RepBonnie",2968451607,-1.04199437065927
"197","RepLeeZeldin",2750127259,1.35048919176469
"198","justinamash",233842454,1.0220514288813
"199","RepEBJ",168502762,0.0379719065485616
"200","RepMcNerney",385429543,-0.605393179303381
"201","RepShimkus",15600527,1.22544975284337
"202","RepKathleenRice",2970462034,1.04199107408442
"203","RepMarcyKaptur",581141508,-0.78901838567589
"204","WaysMeansCmte",31128529,-0.678858635024162
"205","RepRubenGallego",2966570782,-0.674626141596626
"206","DarrellIssa",22509548,1.68574245634958
"207","repdavidscott",168673083,-0.315872538795912
"208","RepKinzinger",219429281,1.59041107821895
"209","RepRaulGrijalva",28602948,-1.53957772185942
"210","NateSilver538",16017475,0.0637011652879747
"211","rep_stevewomack",234469322,1.56198585737048
"212","timkaine",172858784,0.00830815726033087
"213","repgregwalden",32010840,1.37954832628925
"214","RepPaulTonko",84119348,-0.871149350604653
"215","RepBillFoster",1080509366,0.0281715676936342
"216","RepRobinKelly",1339931490,-1.15140458910433
"217","RepRonKind",112740986,0.0696540874677573
"218","RepAnnieKuster",1058717720,-0.396184338519858
"219","AmericanLegion",27048645,1.18760677224217
"220","RepJuanVargas",1260172386,-0.444859104408927
"221","boblatta",15394954,1.58977257767422
"222","JimLangevin",18909919,0.828768649416106
"223","RepCuellar",210926192,0.767044361476847
"224","RepHartzler",237763317,1.55669490654249
"225","RepDennyHeck",1068499286,0.378356992975041
"226","CQnow",2312829909,1.24294690120424
"227","SenSherrodBrown",43910797,1.16071413284279
"228","EleanorNorton",23600262,1.44882927095296
"229","RepBillJohnson",211530910,1.73921494669144
"230","SenatorLankford",225921757,1.36144354254416
"231","RoyBlunt",21269970,1.47644346491683
